_DATE,_NAME,MATCHGAME,PRE_DIFF_FORM,PRE_DIFF_GS,PRE_DIFF_GC,PRE_DIFF_ATTACK_STRENGTH,PRE_DIFF_DEFENCE_STRENGTH,PRE_DIFF_PTS,_SEASON,_LEAGUE,_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Sun. 25 Oct.,Mönchengladb. v Schalke 04,10,0.22580645161290325,4.0,7.0,0.158590308370044,0.27753303964757703,-7.0,2015..2016,ger,Mönchengladb. v Schalke,0,0.5,6,5,187,5,184,86,101,41,95,52,-3,3,1,-1,6,3,0,-1,2,0,0,0,102,186,84,-3,-1,0,-4,2,9,6,2
Sat. 7 Nov.,Mönchengladb. v Ingolstadt,12,0.6612903225806452,16.0,9.0,0.508833922261484,0.28621908127208484,3.0,2015..2016,ger,Mönchengladb. v Ingolstadt,1,-0.5,-4,3,68,-10,64,50,16,-54,47,72,-2,2,-3,3,-5,-4,0,-4,-1,0,-1,0,-59,68,127,0,-1,0,-10,-4,5,6,0
Sat. 21 Nov.,Mönchengladb. v Hannover 96,13,0.3870967741935484,11.0,-4.0,0.32352941176470595,-0.11764705882352933,8.0,2015..2016,ger,Mönchengladb. v Hannover,0,0.1999999999999993,1,0,138,-8,136,109,46,39,125,-10,1,-1,1,-1,-1,1,1,2,-1,0,1,0,86,135,49,0,0,0,3,5,3,2,1
Sat. 5 Dec.,Mönchengladb. v Bayern Munich,15,-0.29032258064516137,-14.0,17.0,-0.3480662983425413,0.4226519337016574,-17.0,2015..2016,ger,Mönchengladb. v Bayern,0,-2.3999999999999986,-4,-2,-79,1,-92,-42,-42,-35,-50,-1,-2,2,0,0,-3,-2,0,-6,-1,0,0,0,-97,-82,15,2,-1,0,2,2,0,0,0
Sun. 20 Dec.,Mönchengladb. v Darmstadt,17,0.06451612903225806,16.0,5.0,0.3512195121951219,0.1097560975609756,8.0,2015..2016,ger,Mönchengladb. v Darmstadt,0,-3.3999999999999986,0,4,171,2,171,93,73,14,125,30,-2,2,0,0,0,1,-1,-2,-2,0,-1,0,72,155,83,-4,-1,1,-2,-2,1,0,0
Sat. 23 Jan.,Mönchengladb. v Dortmund,18,0.2580645161290323,-13.0,7.0,-0.2714617169373549,0.14617169373549882,-9.0,2015..2016,ger,Mönchengladb. v Borussia Dortmund,2,-0.8999999999999986,-6,-2,-63,-4,-71,-21,-40,-13,-45,-2,2,-2,0,0,-4,-2,-1,4,1,0,-1,0,-69,-70,-1,-3,0,0,4,3,3,-1,-1
Fri. 5 Feb.,Mönchengladb. v Werder Bremen,20,-0.403225806451613,12.0,-2.0,0.22594142259414224,-0.03765690376569031,10.0,2015..2016,ger,Mönchengladb. v Werder Bremen,0,-0.3000000000000007,3,1,47,-7,49,21,29,14,14,21,-3,3,-3,3,6,3,2,0,1,0,-2,0,29,50,21,2,1,0,-1,2,2,3,2
Sat. 20 Feb.,Mönchengladb. v FC Köln,22,-0.45161290322580644,18.0,11.0,0.3074003795066414,0.1878557874762808,3.0,2015..2016,ger,Mönchengladb. v FC Cologne,0,0.5999999999999979,9,4,186,6,179,111,61,37,111,26,3,-3,0,0,6,2,1,0,1,0,0,0,93,181,88,-2,0,0,-7,-1,3,6,1
Wed. 2 Mar.,Mönchengladb. v Stuttgart,24,0.22580645161290325,10.0,-4.0,0.15817223198594021,-0.06326889279437609,8.0,2015..2016,ger,Mönchengladb. v Stuttgart,0,-1.8999999999999986,3,2,177,4,170,90,81,8,141,23,0,0,5,-5,4,2,1,-5,0,0,1,0,82,161,79,-6,-1,0,6,5,2,-1,1
Sat. 12 Mar.,Mönchengladb. v Frankfurt,26,0.032258064516129004,22.0,2.0,0.31578947368421045,0.028708133971291905,15.0,2015..2016,ger,Mönchengladb. v Eintracht Frankfurt,0,-0.8000000000000007,9,4,263,1,259,138,130,44,179,44,1,-1,5,-5,5,3,0,5,-1,0,1,0,161,270,109,-8,-1,0,-6,0,3,6,1
Sun. 3 Apr.,Mönchengladb. v Hertha Berlin,28,-0.532258064516129,17.0,17.0,0.22666666666666657,0.22666666666666668,-6.0,2015..2016,ger,Mönchengladb. v Hertha Berlin,0,-2.1999999999999993,1,0,42,-12,37,42,-6,0,85,-49,-1,1,-2,2,4,4,1,-2,2,0,1,0,42,38,-4,1,1,0,10,10,-3,0,1
Sun. 24 Apr.,Mönchengladb. v Hoffenheim,31,-0.7741935483870968,24.0,2.0,0.2845849802371542,0.02371541501976282,11.0,2015..2016,ger,Mönchengladb. v Hoffenheim,0,0.3000000000000007,2,0,164,1,162,114,63,68,100,8,6,-6,0,0,4,4,1,9,0,0,2,0,132,169,37,-4,-2,0,-8,-3,11,5,0
Sat. 7 May.,Mönchengladb. v Leverkusen,33,-0.4516129032258065,11.0,13.0,0.1208791208791209,0.14285714285714285,-8.0,2015..2016,ger,Mönchengladb. v Leverkusen,0,0.6999999999999993,0,-2,153,11,144,75,79,-3,105,52,2,-2,-3,3,0,-1,-1,3,1,0,0,0,41,165,124,-3,-1,0,-4,4,11,8,0
Sat. 22 Aug.,Schalke 04 v Darmstadt,2,0.5,1.0,-2.0,0.3214285714285715,-0.6428571428571428,2.0,2015..2016,ger,Schalke v Darmstadt,1,-2.8000000000000007,7,4,252,15,248,145,118,67,157,40,3,-3,-3,3,5,2,0,9,5,0,2,0,177,264,87,-6,0,0,-10,-3,9,7,-1
Sun. 13 Sep.,Schalke 04 v FSV Mainz 05,4,-0.5714285714285714,-1.0,2.0,-0.11688311688311698,0.23376623376623376,-2.0,2015..2016,ger,Schalke v Mainz,0,0.40000000000000213,8,6,95,8,93,61,41,19,57,24,2,-2,2,-2,3,2,1,9,4,0,1,0,50,106,56,3,-2,0,1,2,-3,1,0
Wed. 23 Sep.,Schalke 04 v Frankfurt,6,0.16129032258064524,-5.0,-1.0,-0.36,-0.07200000000000001,2.0,2015..2016,ger,Schalke v Eintracht Frankfurt,0,-0.5999999999999979,5,4,37,-1,36,20,24,24,34,-12,4,-4,5,-5,2,1,0,7,1,0,-1,0,76,26,-50,-10,1,0,-10,-6,7,4,0
Sun. 4 Oct.,Schalke 04 v FC Köln,8,0.5483870967741935,0.0,-7.0,0.0,-0.3559322033898305,5.0,2015..2016,ger,Schalke v FC Cologne,2,0.3999999999999986,2,5,98,-16,109,66,39,66,29,9,-1,1,-1,1,1,0,-1,7,3,0,0,0,110,100,-10,-12,0,0,0,1,3,1,-1
Sat. 17 Oct.,Schalke 04 v Hertha Berlin,9,-0.32258064516129026,-1.0,0.0,-0.04390243902439023,0.0,2.0,2015..2016,ger,Schalke v Hertha Berlin,0,-0.5,3,-2,44,3,61,33,20,-6,38,22,-2,2,-2,2,3,4,1,6,2,0,0,0,17,65,48,3,0,-1,2,1,1,-1,1
Sat. 31 Oct.,Schalke 04 v Ingolstadt,11,0.19354838709677422,7.0,4.0,0.24418604651162795,0.1395348837209302,5.0,2015..2016,ger,Schalke v Ingolstadt,1,-0.29999999999999716,6,3,54,-13,68,37,23,-12,45,27,-1,1,-1,1,8,5,0,2,0,0,1,0,21,64,43,-4,0,0,-14,-9,7,5,-1
Sat. 21 Nov.,Schalke 04 v Bayern Munich,13,-0.6774193548387097,-21.0,12.0,-0.6176470588235294,0.3529411764705882,-14.0,2015..2016,ger,Schalke v Bayern,2,-1.8000000000000007,-6,-5,-294,9,-297,-167,-131,-87,-209,-4,-3,3,-1,1,-5,-5,0,-5,-1,0,0,0,-243,-292,-49,5,0,0,4,3,-2,-1,2
Fri. 4 Dec.,Schalke 04 v Hannover 96,15,-0.2903225806451613,1.0,-4.0,0.02486187845303872,-0.09944751381215461,7.0,2015..2016,ger,Schalke v Hannover,0,-0.5,13,6,89,-5,103,50,46,51,7,39,4,-4,2,-2,10,7,0,11,3,0,0,0,59,106,47,5,1,0,-11,-4,10,7,0
Fri. 18 Dec.,Schalke 04 v Hoffenheim,17,-0.40322580645161293,5.0,-1.0,0.1097560975609756,-0.02195121951219514,11.0,2015..2016,ger,Schalke v Hoffenheim,0,0.6999999999999993,1,0,64,-10,73,44,27,60,42,-30,2,-2,-2,2,2,3,1,7,2,0,0,0,108,72,-36,1,0,0,-5,-6,3,-1,1
Sun. 24 Jan.,Schalke 04 v Werder Bremen,18,0.48387096774193544,6.0,-9.0,0.12529002320185612,-0.18793503480278423,12.0,2015..2016,ger,Schalke v Werder Bremen,2,-0.3000000000000007,3,1,94,0,97,50,53,33,51,21,3,-3,-1,1,6,4,1,5,2,0,2,0,70,109,39,1,-1,0,0,3,-1,3,0
Sat. 6 Feb.,Schalke 04 v Wolfsburg,20,0.3870967741935483,-3.0,1.0,-0.05648535564853563,0.018828451882845154,3.0,2015..2016,ger,Schalke v Wolfsburg,0,-1.1999999999999993,8,2,-42,-3,-42,-20,-18,4,-43,1,2,-2,0,0,0,2,0,6,1,0,2,0,2,-38,-40,-3,0,0,-1,4,3,5,2
Sun. 21 Feb.,Schalke 04 v Stuttgart,22,-0.5806451612903225,-3.0,-13.0,-0.05123339658444026,-0.22201138519924102,6.0,2015..2016,ger,Schalke v Stuttgart,1,-1.0,1,-3,-27,2,-31,-26,-18,-16,-17,-10,-5,5,2,-2,-1,2,0,-10,0,0,1,0,-19,-23,-4,1,-1,0,-4,-1,4,3,1
Wed. 2 Mar.,Schalke 04 v Hamburger SV,24,-0.06451612903225801,5.0,-2.0,0.07908611599297016,-0.03163444639718804,7.0,2015..2016,ger,Schalke v Hamburg,0,-2.1999999999999993,9,8,127,2,132,80,60,53,82,6,1,-1,4,-4,6,4,-1,9,1,0,3,0,139,125,-14,-7,0,0,0,4,5,4,0
Fri. 18 Mar.,Schalke 04 v Mönchengladb.,27,-0.2741935483870968,-16.0,-8.0,-0.22052067381316998,-0.11026033690658499,-1.0,2015..2016,ger,Schalke v Mönchengladb.,0,-0.3999999999999986,-5,-4,-103,5,-93,-77,-18,-32,-46,-19,-2,2,0,0,-5,-3,0,3,0,0,-2,0,-32,-99,-67,12,0,0,-5,-8,-1,-3,0
Sun. 10 Apr.,Schalke 04 v Dortmund,29,-0.6129032258064516,-28.0,10.0,-0.3564356435643565,0.1272984441301273,-23.0,2015..2016,ger,Schalke v Borussia Dortmund,1,-1.6000000000000014,-2,-3,41,26,48,10,17,-8,0,35,-3,3,-3,3,-3,-2,0,-3,-1,0,0,0,-25,55,80,4,0,0,5,6,1,1,0
Sat. 23 Apr.,Schalke 04 v Leverkusen,31,-0.8064516129032258,-6.0,10.0,-0.07114624505928852,0.11857707509881421,-6.0,2015..2016,ger,Schalke v Leverkusen,2,0.40000000000000213,4,2,22,13,26,8,16,5,21,-1,-2,2,2,-2,4,2,1,-3,3,0,1,0,25,43,18,6,0,0,-15,-7,19,8,2
Sat. 7 May.,Schalke 04 v FC Augsburg,33,-0.16129032258064524,6.0,-1.0,0.06593406593406592,-0.01098901098901095,11.0,2015..2016,ger,Schalke v Augsburg,1,-3.0,9,7,167,3,165,86,87,48,131,-3,5,-5,5,-5,7,5,0,6,3,0,-2,0,130,171,41,0,0,0,-13,-4,13,9,0
Sun. 16 Aug.,Stuttgart v FC Köln,1,0,0,0,0,0,0,2015..2016,ger,Stuttgart v FC Cologne,2,0.10000000000000142,6,7,32,-9,41,34,17,54,22,-26,4,-4,-3,3,5,4,0,13,2,0,0,0,79,42,-37,3,1,0,-3,0,3,3,0
Sat. 29 Aug.,Stuttgart v Frankfurt,3,-0.3333333333333333,1.0,3.0,0.17307692307692313,0.5192307692307693,-1.0,2015..2016,ger,Stuttgart v Eintracht Frankfurt,2,-0.7000000000000028,8,3,15,-9,19,25,3,19,13,-5,3,-3,-1,1,4,3,0,6,-2,0,-3,0,73,26,-47,2,-2,0,-1,5,9,6,1
Sun. 20 Sep.,Stuttgart v Schalke 04,5,-0.6666666666666666,-1.0,7.0,-0.08333333333333331,0.5833333333333333,-7.0,2015..2016,ger,Stuttgart v Schalke,2,-0.5,8,1,-47,-22,-37,-11,-20,15,-28,-17,-1,1,2,-2,6,7,0,8,4,0,0,0,25,-56,-81,-6,2,0,2,1,2,-1,0
Sat. 26 Sep.,Stuttgart v Mönchengladb.,7,0.0,2.0,0.0,0.11842105263157893,0.0,0.0,2015..2016,ger,Stuttgart v Mönchengladb.,2,-0.1999999999999993,3,1,-83,-21,-72,-35,-48,-8,-48,-27,1,-1,-3,3,1,2,-1,4,2,0,1,0,-27,-70,-43,0,1,0,0,2,-1,2,1
Sun. 18 Oct.,Stuttgart v Ingolstadt,9,-0.33870967741935487,5.0,13.0,0.2195121951219512,0.5707317073170731,-10.0,2015..2016,ger,Stuttgart v Ingolstadt,0,-1.0,3,1,14,-10,31,14,16,33,5,-8,4,-4,-4,4,5,1,0,10,0,0,1,0,45,25,-20,5,2,0,1,-5,-2,-6,0
Sun. 1 Nov.,Stuttgart v Darmstadt,11,0.03225806451612906,3.0,10.0,0.10465116279069775,0.34883720930232553,-6.0,2015..2016,ger,Stuttgart v Darmstadt,0,-3.5,3,0,112,-8,111,75,49,15,63,45,3,-3,-4,4,3,-1,0,8,4,0,-4,0,43,114,71,-2,1,0,-1,0,0,1,0
Sat. 21 Nov.,Stuttgart v FC Augsburg,13,0.19354838709677416,4.0,2.0,0.11764705882352944,0.05882352941176461,4.0,2015..2016,ger,Stuttgart v Augsburg,2,-3.6000000000000014,4,2,34,-5,25,26,20,48,16,-18,2,-2,5,-5,0,2,-2,6,1,0,-2,0,55,28,-27,-5,-1,0,2,2,-2,0,-1
Sun. 6 Dec.,Stuttgart v Werder Bremen,15,-0.0967741935483871,4.0,7.0,0.09944751381215472,0.17403314917127066,-3.0,2015..2016,ger,Stuttgart v Werder Bremen,1,-0.6000000000000014,6,4,90,-1,86,55,30,-5,79,10,-1,1,0,0,6,3,1,-3,-1,0,-1,0,7,82,75,0,0,0,4,4,-1,0,1
Sat. 19 Dec.,Stuttgart v Wolfsburg,17,0.0,-6.0,18.0,-0.13170731707317068,0.39512195121951216,-14.0,2015..2016,ger,Stuttgart v Wolfsburg,0,-0.7000000000000028,-3,-2,-218,-16,-215,-122,-102,-17,-182,-26,1,-1,-2,2,-2,1,0,-4,-1,0,1,0,-115,-218,-103,6,0,0,6,0,-5,-6,1
Sat. 30 Jan.,Stuttgart v Hamburger SV,19,0.7741935483870968,5.0,13.0,0.09846827133479208,0.2560175054704596,-4.0,2015..2016,ger,Stuttgart v Hamburg,0,-0.5,2,0,-77,-14,-83,-38,-36,17,-69,-22,1,-1,0,0,2,2,0,4,1,0,-2,0,-6,-81,-75,-1,1,0,-1,3,-2,4,0
Sat. 13 Feb.,Stuttgart v Hertha Berlin,21,0.435483870967742,2.0,20.0,0.03592814371257491,0.3592814371257484,-11.0,2015..2016,ger,Stuttgart v Hertha Berlin,0,-0.5,3,1,26,-21,17,50,2,70,16,-34,4,-4,1,-1,0,0,0,9,-1,0,-4,0,75,13,-62,-4,1,0,-13,-10,7,3,0
Sat. 27 Feb.,Stuttgart v Hannover 96,23,0.7419354838709677,15.0,5.0,0.24770642201834853,0.0825688073394496,14.0,2015..2016,ger,Stuttgart v Hannover,2,2.0,2,1,38,15,35,3,47,18,26,6,7,-7,-5,5,3,4,0,13,5,0,-1,0,30,42,12,1,0,0,3,4,-3,1,0
Sat. 5 Mar.,Stuttgart v Hoffenheim,25,-0.5161290322580645,10.0,11.0,0.15025041736227035,0.1652754590984974,7.0,2015..2016,ger,Stuttgart v Hoffenheim,0,2.200000000000003,7,3,-87,-7,-86,-45,-37,22,-73,-30,5,-5,-6,6,7,8,0,10,6,0,1,0,-16,-82,-66,-1,1,0,7,7,-4,0,2
Sun. 20 Mar.,Stuttgart v Leverkusen,27,-0.11290322580645162,6.0,19.0,0.08269525267993871,0.2618683001531394,-7.0,2015..2016,ger,Stuttgart v Leverkusen,2,2.700000000000003,0,-2,34,-10,23,24,8,-5,12,26,-1,1,1,-1,0,1,-1,-2,-1,0,-1,0,-2,45,47,4,-1,0,-6,-4,5,2,-1
Sat. 9 Apr.,Stuttgart v Bayern Munich,29,-0.5483870967741935,-21.0,43.0,-0.26732673267326734,0.5473833097595474,-39.0,2015..2016,ger,Stuttgart v Bayern,2,-2.0,3,2,-286,6,-290,-154,-137,-72,-194,-24,1,-1,6,-6,0,0,0,1,2,0,-2,0,-196,-293,-97,3,-1,0,9,6,-11,-3,1
Sat. 23 Apr.,Stuttgart v Dortmund,31,-0.7903225806451613,-26.0,30.0,-0.308300395256917,0.3557312252964427,-38.0,2015..2016,ger,Stuttgart v Borussia Dortmund,2,-0.20000000000000284,-4,-4,-88,5,-93,-39,-45,-7,-43,-34,-2,2,-3,3,-4,-4,-1,4,-1,0,-5,0,-31,-107,-76,-5,0,0,17,11,-12,-6,-2
Sat. 7 May.,Stuttgart v FSV Mainz 05,33,-0.3064516129032258,5.0,28.0,0.05494505494505497,0.30769230769230765,-13.0,2015..2016,ger,Stuttgart v Mainz,2,-0.3000000000000007,-4,-3,-13,-3,-12,-18,-2,14,-10,-25,-5,5,5,-5,-3,-3,-1,-4,-1,0,0,0,14,-7,-21,6,0,0,-2,-2,-3,0,0
Sat. 15 Aug.,Werder Bremen v Schalke 04,1,0,0,0,0,0,0,2015..2016,ger,Werder Bremen v Schalke,2,-0.8000000000000007,-3,-4,27,-19,24,19,3,7,-2,16,-5,5,3,-3,-4,-2,0,-2,-2,0,1,0,10,21,11,-3,0,0,-3,-4,0,-1,1
Sun. 30 Aug.,Werder Bremen v Mönchengladb.,3,0.3333333333333333,0.0,-2.0,0.0,-0.34615384615384626,1.0,2015..2016,ger,Werder Bremen v Mönchengladb.,0,0.09999999999999787,7,2,-119,-12,-98,-59,-59,8,-93,-32,1,-1,-7,7,3,3,-1,2,2,0,0,0,-10,-100,-90,9,0,0,4,0,-4,-4,0
Sat. 19 Sep.,Werder Bremen v Ingolstadt,5,0.2666666666666667,4.0,2.0,0.33333333333333337,0.16666666666666669,0.0,2015..2016,ger,Werder Bremen v Ingolstadt,2,-0.7000000000000028,0,-1,42,-2,36,32,12,6,21,19,0,0,1,-1,0,0,0,0,-1,0,0,0,9,34,25,-1,-3,0,-5,-5,-1,0,0
Sat. 26 Sep.,Werder Bremen v Leverkusen,7,-0.33870967741935476,3.0,1.0,0.17763157894736845,0.059210526315789436,-2.0,2015..2016,ger,Werder Bremen v Leverkusen,2,0.3000000000000007,-1,1,-71,7,-72,-33,-38,-26,-41,-3,0,0,3,-3,-1,-1,0,1,-1,0,-3,0,-63,-62,1,6,0,0,-1,3,4,4,-1
Sat. 17 Oct.,Werder Bremen v Bayern Munich,9,-0.967741935483871,-21.0,9.0,-0.921951219512195,0.39512195121951216,-17.0,2015..2016,ger,Werder Bremen v Bayern,2,0.1999999999999993,-5,0,-336,16,-336,-202,-141,-115,-206,-25,-2,2,0,0,-4,-3,-1,-6,0,0,-3,0,-283,-334,-51,5,-1,0,-3,-2,0,1,-1
Sat. 31 Oct.,Werder Bremen v Dortmund,11,-0.30645161290322587,-19.0,3.0,-0.6627906976744187,0.10465116279069775,-13.0,2015..2016,ger,Werder Bremen v Borussia Dortmund,2,-1.0999999999999979,1,0,-224,-1,-216,-118,-106,-33,-189,-4,-4,4,-1,1,0,-1,-1,1,1,0,-1,0,-147,-194,-47,5,0,0,-7,0,7,7,-1
Sat. 28 Nov.,Werder Bremen v Hamburger SV,14,-0.40322580645161293,-1.0,8.0,-0.0267857142857143,0.21428571428571436,-5.0,2015..2016,ger,Werder Bremen v Hamburg,2,-1.3000000000000007,-2,0,-47,-10,-49,-17,-25,10,-58,6,1,-1,-1,1,-1,0,0,9,4,0,1,0,-22,-54,-32,5,0,0,2,3,-5,1,-2
Sat. 12 Dec.,Werder Bremen v FC Köln,16,0.04838709677419356,0.0,10.0,0.0,0.23316062176165808,-6.0,2015..2016,ger,Werder Bremen v FC Cologne,1,0.0,2,2,-57,11,-58,-38,-23,27,-92,3,3,-3,-2,2,1,-1,0,4,0,0,-1,0,6,-47,-53,6,-1,0,0,2,1,2,1
Sat. 30 Jan.,Werder Bremen v Hertha Berlin,19,-0.09677419354838712,-6.0,15.0,-0.11816192560175048,0.29540481400437635,-15.0,2015..2016,ger,Werder Bremen v Hertha Berlin,1,-0.5,0,0,-47,2,-50,-32,-21,-39,4,-17,-2,2,0,0,-2,1,0,-8,-4,0,1,0,-54,-56,-2,-1,0,0,-4,-2,1,2,-2
Sat. 13 Feb.,Werder Bremen v Hoffenheim,21,0.17741935483870966,6.0,11.0,0.10778443113772457,0.19760479041916157,5.0,2015..2016,ger,Werder Bremen v Hoffenheim,1,1.6000000000000014,1,1,-13,0,-7,-1,-4,45,-44,-8,5,-5,4,-4,1,1,0,7,1,0,0,0,55,-7,-62,10,-1,0,-4,-6,5,-2,0
Sat. 27 Feb.,Werder Bremen v Darmstadt,23,0.03225806451612903,2.0,10.0,0.033027522935779874,0.1651376146788991,-4.0,2015..2016,ger,Werder Bremen v Darmstadt,1,-1.5999999999999979,-1,0,81,-1,82,41,33,1,51,21,-1,1,0,0,2,2,1,-2,0,0,1,0,27,85,58,-1,1,0,-2,-3,0,-1,0
Sat. 5 Mar.,Werder Bremen v Hannover 96,25,0.4193548387096774,10.0,5.0,0.15025041736227046,0.07512520868113526,7.0,2015..2016,ger,Werder Bremen v Hannover,0,0.8000000000000007,-1,-2,-4,10,2,-8,9,23,-11,-14,-1,1,-4,4,3,5,1,0,1,0,0,0,15,7,-8,1,-2,0,-4,4,6,8,1
Sat. 19 Mar.,Werder Bremen v FSV Mainz 05,27,0.09677419354838712,1.0,21.0,0.013782542113323193,0.28943338437978555,-13.0,2015..2016,ger,Werder Bremen v Mainz,1,1.1999999999999993,3,2,-26,8,-22,-22,-4,15,-30,-12,-2,2,7,-7,-1,-1,-1,-4,1,0,-2,0,15,-31,-46,11,1,0,7,-4,-3,-11,0
Sat. 9 Apr.,Werder Bremen v FC Augsburg,29,0.12903225806451613,3.0,10.0,0.03818953323903823,0.12729844413012725,1.0,2015..2016,ger,Werder Bremen v Augsburg,2,-2.0,10,6,56,9,44,36,30,72,-3,-4,5,-5,2,-2,7,4,1,7,6,0,0,0,89,42,-47,-8,-1,0,5,3,-1,-2,1
Sat. 16 Apr.,Werder Bremen v Wolfsburg,30,-0.25806451612903225,-1.0,21.0,-0.012295081967213128,0.2581967213114753,-11.0,2015..2016,ger,Werder Bremen v Wolfsburg,0,0.3999999999999986,6,3,-93,0,-94,-21,-62,62,-124,-18,2,-2,1,-1,2,4,-1,11,2,0,-1,0,6,-86,-92,4,-1,0,6,7,-11,1,0
Mon. 2 May.,Werder Bremen v Stuttgart,32,0.24193548387096772,-3.0,0.0,-0.03417721518987338,0.0,-2.0,2015..2016,ger,Werder Bremen v Stuttgart,0,1.5,-1,0,-44,11,-38,-42,-10,-2,-43,-5,0,0,1,-1,-2,0,1,0,1,0,2,0,-7,-34,-27,3,-1,0,6,3,-7,-3,0
Sat. 14 May.,Werder Bremen v Frankfurt,34,-0.32258064516129026,15.0,14.0,0.16129032258064518,0.15053763440860213,-1.0,2015..2016,ger,Werder Bremen v Eintracht Frankfurt,0,-0.3000000000000007,3,-2,78,-1,79,47,37,52,30,1,2,-2,-2,2,0,0,0,3,0,0,0,0,70,85,15,5,0,0,-3,-4,3,-1,0
Sun. 16 Aug.,Wolfsburg v Frankfurt,1,0,0,0,0,0,0,2015..2016,ger,Wolfsburg v Eintracht Frankfurt,0,0.7999999999999972,-3,-2,126,35,125,73,56,0,84,45,-1,1,2,-2,-4,-2,0,1,1,0,-3,0,40,131,91,3,0,0,1,2,2,1,1
Fri. 28 Aug.,Wolfsburg v Schalke 04,3,0.0,-1.0,1.0,-0.17307692307692302,0.17307692307692307,0.0,2015..2016,ger,Wolfsburg v Schalke,0,1.3000000000000007,-2,-2,140,30,158,74,64,48,106,-15,-2,2,-4,4,1,-1,1,5,0,0,1,0,118,162,44,10,0,0,2,-1,-2,-3,1
Sat. 19 Sep.,Wolfsburg v Hertha Berlin,5,0.0,1.0,-3.0,0.08333333333333331,-0.25,1.0,2015..2016,ger,Wolfsburg v Hertha Berlin,0,0.40000000000000213,0,-2,51,10,51,27,16,13,69,-39,-2,2,-5,5,2,1,0,-2,2,0,-1,0,77,58,-19,3,-1,0,0,-1,5,-1,0
Sat. 26 Sep.,Wolfsburg v Hannover 96,7,0.4032258064516129,4.0,-8.0,0.2368421052631578,-0.4736842105263157,10.0,2015..2016,ger,Wolfsburg v Hannover,1,0.5999999999999979,7,2,169,8,175,107,75,29,132,20,4,-4,-3,3,7,8,1,12,6,0,0,0,109,177,68,-1,1,0,-4,-6,6,-2,1
Sat. 17 Oct.,Wolfsburg v Hoffenheim,9,-0.3709677419354839,0.0,-4.0,0.0,-0.17560975609756097,6.0,2015..2016,ger,Wolfsburg v Hoffenheim,0,1.5,8,5,63,-5,60,52,24,27,38,11,4,-4,0,0,7,5,1,10,3,0,1,0,40,68,28,-6,0,0,-9,0,8,9,1
Sat. 31 Oct.,Wolfsburg v Leverkusen,11,0.0,3.0,0.0,0.10465116279069775,0.0,1.0,2015..2016,ger,Wolfsburg v Leverkusen,0,1.6999999999999993,0,-1,3,5,17,-8,18,-7,7,10,2,-2,5,-5,1,2,0,9,1,0,-4,0,-22,12,34,7,-1,0,-6,-4,8,2,0
Sat. 21 Nov.,Wolfsburg v Werder Bremen,13,-0.1935483870967742,4.0,-4.0,0.11764705882352944,-0.11764705882352933,8.0,2015..2016,ger,Wolfsburg v Werder Bremen,0,1.5,1,-1,142,-3,155,77,70,17,122,6,-2,2,-2,2,2,3,1,7,5,0,0,0,90,157,67,-1,-2,0,-4,-4,-1,0,0
Sat. 5 Dec.,Wolfsburg v Dortmund,15,-0.12903225806451613,-17.0,-4.0,-0.42265193370165755,-0.09944751381215472,-7.0,2015..2016,ger,Wolfsburg v Borussia Dortmund,2,0.20000000000000284,2,-1,39,15,43,32,11,14,40,-11,0,0,1,-1,4,-1,0,4,3,0,-2,0,51,66,15,9,-1,0,-8,1,8,9,-1
Sat. 12 Dec.,Wolfsburg v Hamburger SV,16,-0.12903225806451613,6.0,-4.0,0.13989637305699493,-0.09326424870466316,4.0,2015..2016,ger,Wolfsburg v Hamburg,1,0.0,2,1,23,-11,33,18,12,4,21,5,0,0,3,-3,3,4,0,6,2,0,2,0,23,39,16,3,-1,0,-2,3,1,5,-1
Sun. 31 Jan.,Wolfsburg v FC Köln,19,-0.25806451612903225,9.0,0.0,0.1772428884026258,0.0,2.0,2015..2016,ger,Wolfsburg v FC Cologne,1,1.0,8,5,163,-7,167,88,80,52,70,46,3,-3,5,-5,4,4,0,7,3,0,-2,0,82,158,76,-5,-1,0,-12,-9,1,3,0
Sat. 13 Feb.,Wolfsburg v Ingolstadt,21,-0.5,15.0,7.0,0.2694610778443114,0.1257485029940119,1.0,2015..2016,ger,Wolfsburg v Ingolstadt,0,0.6000000000000014,6,4,47,3,56,32,17,-33,57,23,4,-4,3,-3,3,3,1,6,4,0,2,0,-8,54,62,-4,0,0,-5,-2,4,3,2
